Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 apache\xalan\xsltc\compiler\util\ErrorMsg.java,185,16,16,16,106,244,28
 apache\xalan\xsltc\compiler\util\FilterGenerator.java,100,2,0,1,1,3,1
 apache\xalan\xsltc\compiler\util\IntType.java,308,2,0,23,4,31,3
 apache\xalan\xsltc\compiler\util\MatchGenerator.java,132,2,2,6,0,8,2
 apache\xalan\xsltc\compiler\util\MethodGenerator.java,318,4,2,18,2,24,8
 apache\xalan\xsltc\compiler\util\MultiHashtable.java,89,2,1,1,0,2,2
 apache\xalan\xsltc\compiler\util\NamedMethodGenerator.java,87,2,3,1,1,6,2
 apache\xalan\xsltc\compiler\util\NodeCounterGenerator.java,109,2,0,1,1,3,1
 apache\xalan\xsltc\compiler\util\NodeSetType.java,337,10,0,30,7,44,10
 apache\xalan\xsltc\compiler\util\NodeSortRecordFactGenerator.java,85,3,3,0,0,3,1
 apache\xalan\xsltc\compiler\util\NodeSortRecordGenerator.java,99,3,1,0,2,5,1
 apache\xalan\xsltc\compiler\util\NodeType.java,335,3,1,17,6,30,4
 apache\xalan\xsltc\compiler\util\NumberType.java,74,2,1,0,0,1,1
 apache\xalan\xsltc\compiler\util\ObjectType.java,168,12,0,33,4,41,8
 apache\xalan\xsltc\compiler\util\RealType.java,357,2,0,16,4,24,3
 apache\xalan\xsltc\compiler\util\ReferenceType.java,273,39,0,44,5,54,7
 apache\xalan\xsltc\compiler\util\ResultTreeType.java,450,10,3,20,14,51,9
 apache\xalan\xsltc\compiler\util\RtMethodGenerator.java,101,2,3,4,1,9,2
 apache\xalan\xsltc\compiler\util\SlotAllocator.java,135,2,1,1,0,2,2
 apache\xalan\xsltc\compiler\util\StringType.java,248,2,0,9,5,19,3
 apache\xalan\xsltc\compiler\util\TestGenerator.java,144,2,2,7,0,9,2
 apache\xalan\xsltc\compiler\util\Type.java,291,2,0,0,4,8,2
 apache\xalan\xsltc\compiler\util\TypeCheckError.java,97,5,3,5,7,22,6
 apache\xalan\xsltc\compiler\util\Util.java,194,4,2,8,2,14,5
 apache\xalan\xsltc\compiler\util\VoidType.java,124,6,0,3,3,9,3
 apache\xalan\xsltc\compiler\AbsoluteLocationPath.java,133,2,1,8,1,11,2
 apache\xalan\xsltc\compiler\AbsolutePathPattern.java,157,2,0,12,7,26,4
 apache\xalan\xsltc\compiler\AlternativePattern.java,130,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\AncestorPattern.java,203,2,0,12,3,18,3
 apache\xalan\xsltc\compiler\ApplyImports.java,192,3,2,7,2,13,4
 apache\xalan\xsltc\compiler\ApplyTemplates.java,217,4,1,10,9,29,4
 apache\xalan\xsltc\compiler\Attribute.java,80,2,0,0,1,2,1
 apache\xalan\xsltc\compiler\AttributeSet.java,223,2,2,3,7,19,3
 apache\xalan\xsltc\compiler\AttributeValue.java,83,2,0,0,1,2,1
 apache\xalan\xsltc\compiler\AttributeValueTemplate.java,236,2,0,8,4,16,3
 apache\xalan\xsltc\compiler\BinOpExpr.java,153,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\BooleanCall.java,89,3,1,2,1,5,2
 apache\xalan\xsltc\compiler\BooleanExpr.java,110,2,1,6,1,9,2
 apache\xalan\xsltc\compiler\CallTemplate.java,152,2,0,2,6,14,2
 apache\xalan\xsltc\compiler\CastExpr.java,250,2,1,18,5,29,8
 apache\xalan\xsltc\compiler\CeilingCall.java,78,3,0,3,2,7,1
 apache\xalan\xsltc\compiler\Choose.java,190,2,0,8,4,16,3
 apache\xalan\xsltc\compiler\Comment.java,110,4,3,1,7,18,3
 apache\xalan\xsltc\compiler\ConcatCall.java,120,2,0,7,4,15,2
 apache\xalan\xsltc\compiler\Constants.java,462,7,2,31,14,61,24
 apache\xalan\xsltc\compiler\ContainsCall.java,135,3,3,7,0,10,2
