relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc
model\AbstractCommonBehaviorHelperDecorator.java,org.argouml.model.AbstractCommonBehaviorHelperDecorator,119,120,1,0,3,7
model\AbstractCoreHelperDecorator.java,org.argouml.model.AbstractCoreHelperDecorator,440,469,53,24,3,83
model\AbstractDataTypesHelperDecorator.java,org.argouml.model.AbstractDataTypesHelperDecorator,49,50,1,0,1,3
model\AbstractExtensionMechanismsHelperDecorator.java,org.argouml.model.AbstractExtensionMechanismsHelperDecorator,76,89,13,0,5,23
model\AbstractModelEventPump.java,org.argouml.model.AbstractModelEventPump,52,48,0,4,0,4
model\AbstractStateMachinesHelperDecorator.java,org.argouml.model.AbstractStateMachinesHelperDecorator,129,129,0,0,1,2
model\AbstractUmlHelperDecorator.java,org.argouml.model.AbstractUmlHelperDecorator,18,18,0,0,0,0
model\AbstractUseCasesHelperDecorator.java,org.argouml.model.AbstractUseCasesHelperDecorator,83,84,1,0,1,3
model\AddAssociationEvent.java,org.argouml.model.AddAssociationEvent,9,9,0,0,0,0
model\AssociationChangeEvent.java,org.argouml.model.AssociationChangeEvent,14,14,0,0,0,0
model\AttributeChangeEvent.java,org.argouml.model.AttributeChangeEvent,7,7,0,0,0,0
model\DeleteInstanceEvent.java,org.argouml.model.DeleteInstanceEvent,7,7,0,0,0,0
model\DummyModelMemento.java,org.argouml.model.DummyModelMemento,6,8,2,0,0,2
model\IllegalModelElementConnectionException.java,org.argouml.model.IllegalModelElementConnectionException,9,9,0,0,0,0
model\InstanceChangeEvent.java,org.argouml.model.InstanceChangeEvent,6,6,0,0,0,0
model\InvalidElementException.java,org.argouml.model.InvalidElementException,12,12,0,0,0,0
model\Model.java,org.argouml.model.Model,192,198,55,49,2,108
model\ModelMemento.java,org.argouml.model.ModelMemento,6,6,0,0,0,0
model\NotImplementedException.java,org.argouml.model.NotImplementedException,9,9,0,0,0,0
model\RemoveAssociationEvent.java,org.argouml.model.RemoveAssociationEvent,9,9,0,0,0,0
model\UUIDManager.java,org.argouml.model.UUIDManager,27,27,0,0,0,0
model\UmlChangeEvent.java,org.argouml.model.UmlChangeEvent,14,15,1,0,0,1
model\UmlException.java,org.argouml.model.UmlException,12,12,0,0,0,0
model\XmiException.java,org.argouml.model.XmiException,11,44,33,0,0,33
model\mdr\AbstractUmlModelFactoryMDR.java,org.argouml.model.mdr.AbstractUmlModelFactoryMDR,7,7,0,0,0,0
model\mdr\ActivityGraphsFactoryMDRImpl.java,org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl,131,132,2,1,29,61
model\mdr\ActivityGraphsHelperMDRImpl.java,org.argouml.model.mdr.ActivityGraphsHelperMDRImpl,86,119,33,0,3,39
model\mdr\CollaborationsFactoryMDRImpl.java,org.argouml.model.mdr.CollaborationsFactoryMDRImpl,369,317,29,81,83,276
model\mdr\CollaborationsHelperMDRImpl.java,org.argouml.model.mdr.CollaborationsHelperMDRImpl,721,712,57,66,138,399
model\mdr\CollectionHelper.java,org.argouml.model.mdr.CollectionHelper,26,26,0,0,0,0
model\mdr\CommonBehaviorFactoryMDRImpl.java,org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl,392,408,21,5,112,250
model\mdr\CommonBehaviorHelperMDRImpl.java,org.argouml.model.mdr.CommonBehaviorHelperMDRImpl,481,463,8,26,29,92
model\mdr\CopyHelper.java,org.argouml.model.mdr.CopyHelper,46,50,4,0,8,20
model\mdr\CoreFactoryMDRImpl.java,org.argouml.model.mdr.CoreFactoryMDRImpl,1183,1433,316,66,258,898
model\mdr\CoreHelperMDRImpl.java,org.argouml.model.mdr.CoreHelperMDRImpl,2463,2694,415,184,309,1217
model\mdr\DataTypesFactoryMDRImpl.java,org.argouml.model.mdr.DataTypesFactoryMDRImpl,152,161,9,0,19,47
model\mdr\DataTypesHelperMDRImpl.java,org.argouml.model.mdr.DataTypesHelperMDRImpl,178,147,1,32,2,37
model\mdr\ExtensionMechanismsFactoryMDRImpl.java,org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl,217,255,45,7,41,134
model\mdr\ExtensionMechanismsHelperMDRImpl.java,org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl,427,375,28,80,46,200
model\mdr\FacadeMDRImpl.java,org.argouml.model.mdr.FacadeMDRImpl,3350,3648,359,61,148,716
model\mdr\KindsMDRImpl.java,org.argouml.model.mdr.KindsMDRImpl,92,101,9,0,3,15
model\mdr\MDRModelImplementation.java,org.argouml.model.mdr.MDRModelImplementation,288,345,75,18,11,115
model\mdr\MetaTypesMDRImpl.java,org.argouml.model.mdr.MetaTypesMDRImpl,265,287,22,0,3,28
model\mdr\ModelEventPumpMDRImpl.java,org.argouml.model.mdr.ModelEventPumpMDRImpl,521,566,139,94,70,373
model\mdr\ModelManagementFactoryMDRImpl.java,org.argouml.model.mdr.ModelManagementFactoryMDRImpl,99,114,18,3,15,51
model\mdr\ModelManagementHelperMDRImpl.java,org.argouml.model.mdr.ModelManagementHelperMDRImpl,405,538,199,66,75,415
model\mdr\StateMachinesFactoryMDRImpl.java,org.argouml.model.mdr.StateMachinesFactoryMDRImpl,400,438,44,6,94,238
